"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2011-12-31,586474108,97745684,0.166667,14392100000,1518400000,12894000000,1459500000,1498100000,0,0,6987000000,8936700000,1208900000,-15900000,-15900000,-0.03,-0.03,0.25,309700000,-126300000,9300000,192700000,227000000,192800000,70.44,75.6,65.28,0.1756,0.0142,15.33,7.36,23.02,31.62,3.0793,5.9654,0.1041,0.0402,0.35,1.2,1.0404
2011-09-30,515815356,85969226,0.166667,11419100000,823400000,10596500000,875600000,822600000,0,0,5592500000,7296600000,1023300000,71500000,71500000,0.14,0.14,0.25,333100000,-187600000,-163300000,-17800000,34300000,177500000,72.03,79.5,64.56,0.3199,0.0229,9.57,7.65,21.83,30.12,1.9571,8.8702,0.072,0.0642,0.36,1.81,0.9404
2011-06-30,509964187,84994031,0.166667,11329200000,713200000,10528800000,950900000,800400000,0,0,5646700000,7224500000,1030400000,93200000,93200000,0.18,0.18,0.25,375900000,-173000000,-186600000,16300000,52100000,172100000,77.85,81.42,74.28,0.3596,0.0248,9.42,8.22,24.48,28.62,1.8301,9.0261,0.0706,0.0686,0.36,2.4,0.75
2011-03-31,509971445,84995241,0.166667,11342800000,701200000,10538000000,923400000,804800000,0,0,5696700000,7285300000,1023100000,23500000,23500000,0.05,0.05,0.25,210100000,-165300000,-51300000,-6500000,35800000,159600000,78.27,84.24,72.3,0.3597,0.0242,9.47,7.92,20.07,27.12,1.9042,9.0523,0.071,0.0669,0.36,0.59,0.7594
2010-12-31,504300673,84050112,0.166667,11353700000,687700000,10523100000,985500000,830600000,0,0,5742500000,7186600000,981000000,72400000,72400000,0.14,0.14,0.25,383000000,-735600000,239700000,-112900000,42300000,120500000,79.5,86.4,72.6,0.499,0.0304,9.88,10.42,19.49,25.62,1.5512,8.6523,0.0732,0.0837,0.36,3.12,0.6978
2010-09-30,483698665,80616444,0.166667,10132200000,706800000,9516800000,864600000,615400000,0,0,4870000000,6555800000,965800000,85200000,85200000,0.18,0.18,0.25,252900000,-113600000,-37600000,101700000,155200000,113300000,70.17,78.3,62.04,0.6535,0.0324,7.63,8.8,17.2,24.12,1.4981,10.6529,0.0607,0.09,0.36,1.73,0.8175
2010-06-30,483167049,80527841,0.166667,10087200000,578100000,9445400000,786600000,641800000,0,0,4932600000,6564000000,917300000,79000000,79000000,0.16,0.16,0.25,285100000,-350000000,-461700000,-526600000,53500000,98900000,52.56,69,36.12,0.8256,0.034,7.97,9.94,12,22.62,1.4777,10.2275,0.0636,0.0948,0.36,2.31,0.7349
2010-03-31,456614233,76102372,0.166667,9327400000,1016400000,8924500000,721400000,402900000,0,0,4048400000,6266700000,847900000,74100000,74100000,0.17,0.17,0.25,173500000,-258300000,-398000000,-482800000,580100000,60500000,63.81,68.4,59.22,None,0.0377,5.29,18.66,13.99,21.12,1.387,15.554,0.0432,0.1037,0.36,1.48,1.4089
2009-12-31,456909066,76151511,0.166667,9145400000,1456000000,8884700000,709300000,260700000,0,0,3597700000,6271400000,754400000,75500000,75500000,0.17,0.17,0.25,379400000,-286300000,679800000,772900000,1062900000,91300000,63.81,69.9,57.72,None,0.041,3.42,23.99,13.63,19.62,1.3137,24.056,0.0285,0.1116,0.37,3.78,2.0527
2009-09-30,427390506,71231751,0.166667,7768100000,678600000,7578300000,572100000,189800000,0,0,3271000000,5199000000,734300000,80000000,80000000,0.18,0.18,0.25,242200000,-67300000,-130300000,44600000,290000000,67300000,54.15,62.04,46.26,None,0.0432,2.66,17.41,10.74,18.12,1.2805,27.392,0.0244,0.1131,0.38,2.46,1.1862
2009-06-30,436709299,72784883,0.166667,7789500000,628700000,7563100000,627000000,226400000,0,0,3290100000,5202000000,752900000,90800000,90800000,0.21,0.21,0.25,284200000,-76400000,-274600000,-66800000,245400000,76700000,50.94,54.78,47.1,None,0.0461,3.11,16.59,9.87,16.62,1.1981,22.977,0.0291,0.1193,0.39,2.85,1.0027
2009-03-31,436753317,72792219,0.166667,7905000000,687200000,7681800000,571000000,223200000,0,0,3310300000,5355100000,755000000,88200000,88200000,0.2,0.2,0.25,215000000,-62800000,-136600000,15600000,312200000,62800000,47.28,56.88,37.68,0.9937,0.0471,3.07,13.78,8.47,15.12,1.1644,23.9924,0.0282,0.1211,0.39,2.09,1.2035
2008-12-31,441098355,73516392,0.166667,8009300000,708700000,7757000000,665300000,252300000,0,0,3330400000,5358200000,765800000,81100000,81100000,0.19,0.19,0.25,350600000,-42500000,-123100000,185000000,296600000,98000000,52.5,66.78,38.22,0.8733,0.0512,3.43,7.11,4.4,13.62,1.0706,21.2374,0.0315,0.1301,0.39,3.44,1.0652
2008-09-30,439422952,73237158,0.166667,8060200000,559600000,7519600000,611300000,540600000,0,0,3368700000,5371400000,794100000,105900000,105900000,0.24,0.24,0.25,222900000,-85200000,-85700000,52000000,111600000,86200000,70.92,77.64,64.2,None,0.1128,7.38,10.34,5.91,12.12,0.4863,9.936,0.0671,0.283,0.4,1.87,0.9154
2008-06-30,439610793,73268465,0.166667,8040500000,499700000,7538200000,639500000,502300000,0,0,3381400000,5344700000,799900000,102000000,102000000,0.23,0.23,0.25,291800000,-75200000,-210500000,6100000,59600000,77500000,78.93,90,67.86,None,0.1134,6.86,9.89,6.54,10.62,0.4903,10.6405,0.0625,0.2842,0.4,2.92,0.7814
2008-03-31,447281632,74546938,0.166667,8142900000,498700000,7547900000,615100000,595000000,0,0,3461000000,5342900000,811700000,123700000,123700000,0.28,0.27,0.25,215100000,-30200000,-203400000,-18500000,53500000,55800000,70.5,78.6,62.4,None,0.1152,7.98,7.62,6.03,9.12,0.4931,8.9797,0.0731,0.2861,0.4,2.14,0.8108
2007-12-31,453981267,75663544,0.166667,8210700000,497800000,7510900000,641100000,699800000,0,0,3474900000,5331200000,827800000,583600000,583600000,1.25,1.25,0.25,349900000,-53200000,-292600000,4100000,72000000,97400000,80.34,86.4,74.28,None,None,9.25,13.88,None,7.62,0.514,7.6182,0.0852,0.2813,0.4,3.34,0.7765
2007-09-30,477110143,79518357,0.166667,8297400000,597700000,7836600000,664600000,460800000,0,0,3495400000,5633700000,822600000,117700000,117700000,0.25,0.25,0.25,170300000,-637100000,50900000,-415900000,67900000,90300000,82.68,90.6,74.76,None,None,5.79,13.9,None,6.12,None,12.2259,0.0555,None,None,1.01,0.8993
2007-06-30,477395581,79565930,0.166667,8006400000,949000000,7532900000,681900000,473500000,0,0,3041400000,5439500000,826700000,115900000,115900000,0.24,0.24,0.25,298200000,-92400000,-119600000,86200000,483800000,98000000,89.31,91.8,86.82,None,None,5.95,15.45,None,4.62,None,11.4879,0.0591,None,None,2.52,1.3917
2007-03-31,477230810,79538468,0.166667,7961200000,849200000,7501100000,632800000,460100000,0,0,3053800000,5449100000,783700000,99900000,99900000,0.21,0.21,0.25,215300000,-84400000,-120100000,10800000,397600000,80000000,88.14,93.78,82.5,None,None,5.78,14.91,None,3.12,None,11.8433,0.0578,None,None,1.7,1.342
2006-12-31,476737301,79456216,0.166667,8030700000,876700000,7560900000,684600000,469800000,0,0,3065400000,5456200000,None,None,None,None,None,0,256800000,-128200000,-114800000,13800000,386800000,129600000,74.28,81.78,66.78,None,None,5.91,9.79,None,1.62,None,11.6139,0.0585,None,None,1.6,1.2806
2006-09-30,476778215,79463035,0.166667,8161800000,868300000,7559000000,652500000,602800000,0,0,3112200000,5477400000,771400000,196100000,196100000,0.43,0.43,0.27,None,None,None,None,373000000,0,69.18,69.78,68.58,None,None,7.59,None,None,1.62,None,9.0866,0.0739,None,None,None,1.3307
