"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BBY","Best Buy Co Inc","0.67%","78.25","0.00","0.00%","2.10 M","50.29 - 79.90",
"RCL","Royal Caribbean Cruises Ltd","0.62%","107.25","+0.29","+0.27%","530.74 K","103.76 - 135.65",
"AZO","AutoZone Inc","0.60%","665.12","+12.48","+1.91%","299.50 K","491.13 - 797.89",
"CBS","CBS Corp B","0.60%","52.05","+0.30","+0.59%","2.72 M","47.54 - 68.75",
"OMC","Omnicom Group","0.58%","75.72","+0.76","+1.01%","692.82 K","65.32 - 85.44",
"MGM","MGM Resorts International","0.56%","32.22","-0.13","-0.39%","3.75 M","29.53 - 38.41",
"FOX","Twenty-First Century Fox Inc B","0.55%","37.45","+0.18","+0.47%","1.16 M","24.30 - 38.71",
"WYNN","Wynn Resorts Ltd","0.54%","193.70","+4.67","+2.47%","1.85 M","120.47 - 203.63",
"ULTA","Ulta Beauty, Inc","0.50%","255.09","-0.50","-0.19%","527.83 K","187.96 - 314.86",
"DHI","Horton D.R. Inc","0.48%","41.74","-0.10","-0.24%","2.13 M","32.47 - 53.32",
"EXPE","Expedia Group, Inc.","0.48%","116.02","+0.95","+0.83%","485.15 K","98.52 - 161.00",
"LEN","Lennar Corp A","0.48%","52.49","+0.46","+0.87%","1.53 M","49.52 - 72.17",
"GPC","Genuine Parts Co","0.46%","93.42","+1.05","+1.13%","323.82 K","79.86 - 107.75",
"MHK","Mohawk Industries Inc","0.46%","216.69","+0.54","+0.25%","693.31 K","206.74 - 286.85",
"NWL","Newell Brands Inc","0.43%","26.30","-0.02","-0.08%","2.15 M","23.85 - 55.08",
"TPR","Tapestry, Inc","0.43%","45.13","+0.65","+1.46%","2.01 M","38.70 - 55.50",
"KMX","Carmax Inc","0.40%","66.43","+0.56","+0.85%","541.42 K","57.05 - 77.64",
"PVH","PVH Corp","0.40%","154.68","-0.43","-0.28%","305.91 K","96.85 - 163.78",
"WHR","Whirlpool Corp","0.39%","165.35","+2.67","+1.64%","3.48 M","145.59 - 202.99",
"WYN","Wyndham Worldwide Corp","0.37%","109.00","-0.33","-0.30%","566.33 K","95.30 - 127.96",
"NCLH","Norwegian Cruise Line Holdings Ltd","0.37%","53.33","+0.36","+0.68%","953.48 K","48.83 - 61.48",
"CMG","Chipotle Mexican Grill Inc.","0.36%","434.03","+2.08","+0.48%","306.59 K","247.52 - 489.66",
"DRI","Darden Restaurants Inc","0.36%","86.35","+1.29","+1.52%","850.57 K","76.27 - 100.11",
"KSS","Kohl's Corp","0.36%","65.33","+1.66","+2.61%","3.19 M","35.16 - 69.48",
"TIF","Tiffany & Co","0.36%","103.32","-0.03","-0.03%","730.95 K","84.15 - 111.44",
"BWA","Borgwarner Inc","0.35%","52.38","+0.46","+0.89%","319.04 K","40.00 - 58.22",
"M","Macy's Inc","0.35%","34.82","+0.86","+2.52%","7.75 M","17.41 - 34.87",
"HAS","Hasbro Inc","0.34%","87.30","-1.41","-1.59%","415.96 K","79.00 - 116.20",
"KORS","Michael Kors Holdings Ltd","0.34%","67.10","+0.94","+1.42%","670.67 K","32.38 - 70.00",
"VIAB","Viacom Inc B","0.33%","27.47","+0.23","+0.83%","1.65 M","22.13 - 36.96",
"LKQ","LKQ Corp","0.32%","30.79","+0.31","+1.02%","1.08 M","29.60 - 43.86",
"IPG","Interpublic Group Cos","0.31%","23.90","+0.13","+0.55%","1.85 M","18.30 - 26.01",
"TSCO","Tractor Supply Co","0.31%","73.85","+1.03","+1.41%","1.06 M","49.87 - 82.68",
"AAP","Advance Auto Parts Inc","0.30%","118.55","+0.23","+0.19%","824.63 K","78.81 - 151.72",
"LB","L Brands Inc","0.28%","34.21","+0.47","+1.39%","1.89 M","30.70 - 63.10",
"PHM","Pulte Group Inc","0.27%","29.96","+0.05","+0.17%","1.61 M","22.52 - 35.21",
"DISCK","Discovery, Inc C","0.25%","21.46","+0.04","+0.19%","2.21 M","14.99 - 27.15",
"DISH","DISH Network Corp A","0.25%","31.97","-0.38","-1.17%","765.26 K","28.93 - 66.50",
"HOG","Harley-Davidson Inc","0.24%","42.69","+0.19","+0.46%","600.46 K","39.34 - 56.95",
"GPS","Gap Inc","0.23%","31.71","+0.14","+0.44%","2.11 M","21.02 - 35.68",
"GRMN","Garmin Ltd","0.22%","60.45","+0.69","+1.15%","306.71 K","49.80 - 65.96",
"RL","Ralph Lauren Corp A","0.22%","116.96","+1.50","+1.30%","843.35 K","66.06 - 119.33",
"HBI","Hanesbrands Inc","0.22%","18.25","-0.14","-0.73%","7.07 M","16.38 - 25.73",
"GT","Goodyear Tire & Rubber Co","0.21%","26.06","-0.10","-0.36%","1.48 M","24.64 - 36.52",
"HRB","Block H & R Inc","0.20%","28.03","+0.35","+1.26%","474.39 K","23.59 - 31.80",
"NWSA","News Corp A","0.20%","15.74","+0.11","+0.70%","678.20 K","12.51 - 17.29",
"LEG","Leggett & Platt","0.19%","42.56","+0.44","+1.04%","316.66 K","39.57 - 53.96",
"JWN","Nordstrom Inc","0.18%","45.83","+0.47","+1.04%","2.93 M","37.79 - 54.00",
"MAT","Mattel Inc","0.18%","14.93","-0.22","-1.42%","1.89 M","12.21 - 23.12",
"TRIP","TripAdvisor Inc. A","0.18%","47.90","-0.02","-0.04%","1.47 M","29.50 - 50.69",
"FL","Foot Locker Inc","0.18%","44.09","+0.65","+1.50%","1.79 M","28.42 - 61.40",
"UAA","Under Armour Inc A","0.13%","20.14","+0.02","+0.10%","2.95 M","11.40 - 23.46",
"DISCA","Discovery, Inc A","0.12%","22.62","+0.05","+0.20%","2.62 M","15.99 - 27.92",
"UA","Under Armour Inc-C","0.11%","17.99","-0.01","-0.08%","1.09 M","10.36 - 21.81",
"NWS","News Corp B","0.07%","16.23","+0.13","+0.78%","191.20 K","13.00 - 17.70",
